"filename", "language", "Markdown", "Python", "HTML", "XML", "JavaScript", "CSS", "Log", "JSON", "comment", "blank", "total"
"/home/ali4mini/__Projects__/amlak/file/migrations/0002_alter_rent_tags_alter_sell_parking_alter_sell_tags.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 1, 6, 31
"/home/ali4mini/__Projects__/amlak/file/migrations/0003_alter_sell_type.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/home/ali4mini/__Projects__/amlak/file/migrations/0004_alter_rent_type.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/home/ali4mini/__Projects__/amlak/file/migrations/0005_alter_rent_type_alter_sell_type.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/home/ali4mini/__Projects__/amlak/file/migrations/0006_alter_rent_type_alter_sell_type.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/home/ali4mini/__Projects__/amlak/file/migrations/0007_remove_rent_id_remove_sell_id_rent_file_id_and_more.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 1, 6, 33
"/home/ali4mini/__Projects__/amlak/file/migrations/0008_remove_rent_file_id_remove_sell_file_id_rent_id_and_more.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 1, 6, 35
"/home/ali4mini/__Projects__/amlak/file/migrations/0009_rent_file_id_sell_file_id.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/home/ali4mini/__Projects__/amlak/file/migrations/0010_alter_rent_id_alter_sell_id.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/home/ali4mini/__Projects__/amlak/file/migrations/0011_alter_rent_file_id_alter_sell_file_id.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/home/ali4mini/__Projects__/amlak/file/migrations/0012_alter_rent_file_id_alter_sell_file_id.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"/home/ali4mini/__Projects__/amlak/file/migrations/0013_remove_rent_file_id_remove_sell_file_id.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 1, 6, 22
